ii gdk-pixbuf-2.40.0_3                       Image loading library for The GTK+ toolkit (v2)
ii giflib-5.2.1_1                            Library to handle, display and manipulate GIF images
ii git-2.33.0_3                              Git Tree History Storage Tool
ii glfw-wayland-3.3.4_1                      Multi-platform library for creating windows with OpenGL contexts
ii glib-2.70.0_1                             GNU library of C routines
ii glib-networking-2.68.1_1                  Network-related giomodules for glib
ii glibc-2.32_2                              GNU C library
ii glibc-devel-2.32_2                        GNU C library - development files
ii glibc-locales-2.32_2                      GNU C library - locale data files
ii glibmm-2.66.0_1                           C++ bindings for GLib
ii glslang-8.13.3743_1                       Khronos reference front-end for GLSL, ESSL, and sample SPIR-V generator
ii gmp-6.2.1_1                               Library for arbitrary precision arithmetic
ii gnupg-2.2.29_2                            GNU Privacy Guard (2.x)
ii gnupg2-2.2.29_2                           GNU Privacy Guard (2.x) - compat package
ii gnutls-3.6.16_1                           GNU Transport Layer Security library
ii gotop-4.1.2_1                             Terminal based graphical activity monitor
ii gpgmepp-1.15.1_2                          GnuPG Made Easy - C++ library
ii graphene-1.10.6_3                         Thin layer of types for graphic libraries
ii graphite-1.3.14_1                         Reimplementation of the SIL Graphite text processing engine
ii grep-3.7_1                                GNU grep utility
ii grim-1.3.2_1                              Grab images from a Wayland compositor
ii groff-1.22.4_3                            GNU troff text-formatting system
ii grub-2.06_2                               GRand Unified Bootloader 2
ii grub-i386-efi-2.06_2                      GRand Unified Bootloader 2 - i386 EFI support
ii grub-x86_64-efi-2.06_2                    GRand Unified Bootloader 2 - x86_64 EFI support
ii gsettings-desktop-schemas-40.0_2          Collection of GSettings schemas
ii gst-plugins-base1-1.18.4_1                GStreamer Base Plug-ins (v1.x)
ii gstreamer1-1.18.4_2                       Core GStreamer libraries and elements (1.x)
ii gtk+3-3.24.29_1                           GTK+ toolkit (v3)
ii gtk-update-icon-cache-2.24.32_4           GTK+ toolkit (v2) - The GTK+ update icon cache tool
ii gtkmm-3.24.4_1                            C++ bindings for The GTK+ toolkit (v3)
ii gvfs-1.48.1_1                             Userspace virtual filesystem
ii gvfs-afc-1.48.1_1                         Userspace virtual filesystem - Apple mobile device backend
ii gvfs-mtp-1.48.1_1                         Userspace virtual filesystem - MTP backend
ii gvfs-smb-1.48.1_1                         Userspace virtual filesystem - SMB/CIFS (Windows client) backend
ii gzip-1.11_1                               GNU compression utility (replacement for compress)
ii hicolor-icon-theme-0.17_3                 Standard icon theme called hicolor
ii hwids-20210613_1                          Hardware Identification Databases
ii iana-etc-20210818_1                       Unix /etc/services and /etc/protocols files
ii icu-libs-69.1_2                           Robust and fully-featured Unicode libraries - shared libs
ii imlib2-1.7.2_1                            Image manipulation library
ii imv-4.3.0_2                               Image viewer for X11/Wayland
ii inih-53_1                                 Simple ini file parser library
ii iproute2-5.12.0_1                         IP Routing Utilities
ii iptables-1.8.7_1                          Linux IPv[46] packet filtering ruleset
ii iputils-20210722_1                        Useful utilities for Linux networking (including ping)
ii ipw2100-firmware-1.3_6                    Firmware for the Intel PRO/Wireless 2100 wifi cards
ii ipw2200-firmware-3.1_6                    Firmware for the Intel PRO/Wireless 2200BG wifi cards
ii iw-5.9_1                                  Utility for nl80211 based CLI configuration of wireless devices
ii jansson-2.13.1_1                          Library for encoding, decoding and manipulating JSON data
ii jbigkit-libs-2.2_2                        Data compression library/utilities for bi-level high-resolution images - shared libraries
ii json-c-0.15_1                             JSON implementation in C
ii json-glib-1.6.6_1                         JSON parser for GLib-based libraries and applications
ii karchive-5.86.0_1                         Qt5 addon providing access to numerous types of archives
ii kauth-5.86.0_1                            KDE Execute actions as privileged user
ii kbd-2.4.0_1                               Linux keyboard utilities
ii kbookmarks-5.86.0_1                       KDE Bookmarks management library
ii kcodecs-5.86.0_1                          A collection of methods to manipulate strings using various encodings
ii kcompletion-5.86.0_1                      KDE Powerful completion framework
ii kconfig-5.86.0_1                          KDE Persistent platform-independent application settings
ii kconfigwidgets-5.86.0_1                   KDE Widgets for configuration dialogs
ii kcoreaddons-5.86.0_1                      Qt5 addon library with a collection of non-GUI utilities
ii kcrash-5.86.0_1                           KDE Graceful handling of application crashes
ii kdbusaddons-5.86.0_1                      KDE Convenience classes for DBus
ii kdeclarative-5.86.0_1                     KDE Integration of QML and KDE work spaces
ii kdoctools-5.86.0_1                        KDE Create documentation from DocBook
ii kernel-libc-headers-5.10.4_1              Linux API headers for userland development
ii kglobalaccel-5.86.0_1                     KDE Global desktop keyboard shortcuts
ii kguiaddons-5.86.0_1                       KDE frameworks - Addons to QtGui
ii ki18n-5.86.0_1                            KDE Gettext-based UI text internationalization
ii kiconthemes-5.86.0_1                      KDE Icon GUI utilities
ii kio-5.86.0_1                              KDE Network transparent access to files and data
ii kitemviews-5.86.0_1                       Set of item views extending the Qt model-view framework
ii kitty-0.23.1_1                            Modern, hackable, featureful, OpenGL based terminal emulator
ii kitty-terminfo-0.23.1_1                   Modern, hackable, featureful, OpenGL based terminal emulator - terminfo data
ii kjobwidgets-5.86.0_1                      KDE Widgets for showing progress of asynchronous jobs
ii kmod-27_3                                 Linux kernel module handling
ii knewstuff-5.86.0_1                        KDE Framework for downloading and sharing additional application data
ii knotifications-5.86.0_1                   KDE Desktop notifications
ii knotifyconfig-5.86.0_1                    KDE Configuration dialog for desktop notifications
ii konsole-21.08.1_1                         KDE's Terminal Emulator
ii kpackage-5.86.0_1                         KDE Installation and loading of additional content as packages
ii kparts-5.86.0_1                           KDE Plugin framework for user interface components
ii kpartx-0.8.5_1                            Create device maps from partition tables
ii kpty-5.86.0_1                             KDE Interfacing with pseudo terminal devices
ii kservice-5.86.0_1                         KDE Plugin framework for desktop services
ii ktextwidgets-5.86.0_1                     KDE Text editing widgets
ii kwallet-5.86.0_1                          KDE Safe desktop-wide storage for passwords
ii kwidgetsaddons-5.86.0_1                   Large set of desktop widgets
ii kwindowsystem-5.86.0_1                    KDE frameworks - Access to the windowing system
ii kxmlgui-5.86.0_1                          KDE Framework for managing menu and toolbar actions
ii lame-3.100_1                              Fast, high quality MP3 encoder
ii lcms2-2.12_1                              Small-footprint color management engine, version 2
ii ldb-2.3.0_1                               LDAP-like database from samba
ii less-590_1                                Pager program similar to more(1)
ii libICE-1.0.10_2                           Inter Client Exchange (ICE) library for X
ii libOSMesa-21.2.3_1                        Mesa Off-Screen interface library
ii libSM-1.2.3_1                             X Session Management Library
ii libX11-1.7.2_3                            Base X libraries from Xorg
ii libX11-devel-1.7.2_3                      Base X libraries from Xorg - development files
ii libXScrnSaver-1.2.3_1                     X11 Screen Saver Library
ii libXau-1.0.9_1                            Authorization Protocol for X
ii libXau-devel-1.0.9_1                      Authorization Protocol for X - development files
ii libXcomposite-0.4.5_1                     X Composite Library
ii libXcursor-1.2.0_1                        Client-side cursor loading library for X
ii libXdamage-1.1.5_1                        Xdamage extension Library
ii libXdamage-devel-1.1.5_1                  Xdamage extension Library - development files
ii libXdmcp-1.1.3_1                          X Display Manager Control Protocol library
ii libXdmcp-devel-1.1.3_1                    X Display Manager Control Protocol library - development files
ii libXext-1.3.4_1                           X Extension library
ii libXext-devel-1.3.4_1                     X Extension library - development files
ii libXfixes-5.0.3_3                         Xfixes library and extension of X RandR from modular X.org
ii libXfixes-devel-5.0.3_3                   Xfixes library and extension of X RandR from modular X.org - development files
ii libXfont2-2.0.4_1                         X font 2 Library
ii libXi-1.7.10_1                            X Input extension library
ii libXinerama-1.1.4_1                       X PanoramiX extension library
ii libXmu-1.1.3_1                            X Miscellaneous Utilities library
ii libXrandr-1.5.2_1                         X RandR Library from X.org
ii libXrender-0.9.10_2                       X Render Library
ii libXt-1.2.1_1                             X Toolkit Intrinsics library
ii libXtst-1.2.3_2                           X Tst Library
ii libXv-1.0.11_2                            Xv Extension library
ii libXvMC-1.0.12_2                          XVideo Motion Compensation Library
ii libXxf86vm-1.1.4_3                        Library for the XFree86-VidMode X extension
ii libXxf86vm-devel-1.1.4_3                  Library for the XFree86-VidMode X extension - development files
ii libaio-0.3.112_1                          The Linux-native asynchronous I/O facility (aio) library
ii libaom-2.0.1_1                            AV1 Codec library implementation
ii libarchive-3.5.1_2                        Library to read/write several different streaming archive formats
ii libargon2-20190702_3                      Password hashing library
ii libaspell-0.60.8_5                        Spell checker with good multi-language support - library
ii libass-0.15.1_1                           Portable library for SSA/ASS subtitles rendering
ii libassuan-2.5.5_1                         IPC library used by some GnuPG related software
